,순위,제목,변동,변동폭
0,01,테넷,불변,"<td class=""range ac"">0</td>"
1,02,기기괴괴 성형수,상승,"<td class=""range ac"">1</td>"
2,03,다만 악에서 구하소서,강등,"<td class=""range ac"">1</td>"
3,04,테스와 보낸 여름,불변,"<td class=""range ac"">0</td>"
4,05,뉴 뮤턴트,불변,"<td class=""range ac"">0</td>"
5,06,오! 문희,불변,"<td class=""range ac"">0</td>"
6,07,뮬란,불변,"<td class=""range ac"">0</td>"
7,08,에이바,불변,"<td class=""range ac"">0</td>"
8,09,오케이 마담,불변,"<td class=""range ac"">0</td>"
9,10,드라이브,불변,"<td class=""range ac"">0</td>"
10,11,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,불변,"<td class=""range ac"">0</td>"
11,12,#살아있다,불변,"<td class=""range ac"">0</td>"
12,13,나를 구하지 마세요,불변,"<td class=""range ac"">0</td>"
13,14,아무도 없다,상승,"<td class=""range ac"">1</td>"
14,15,검객,상승,"<td class=""range ac"">1</td>"
15,16,도망친 여자,상승,"<td class=""range ac"">3</td>"
16,17,디바,상승,"<td class=""range ac"">4</td>"
17,18,범죄도시 2,상승,"<td class=""range ac"">4</td>"
18,19,반도,불변,"<td class=""range ac"">0</td>"
19,20,더 렌탈: 소리없는 감시자,상승,"<td class=""range ac"">8</td>"
20,21,고스트 오브 워,강등,"<td class=""range ac"">7</td>"
21,22,남매의 여름밤,강등,"<td class=""range ac"">5</td>"
22,23,카일라스 가는 길,강등,"<td class=""range ac"">5</td>"
23,24,설계,불변,
24,25,비독: 파리의 황제,강등,"<td class=""range ac"">2</td>"
25,26,담보,강등,"<td class=""range ac"">1</td>"
26,27,메피스토,강등,"<td class=""range ac"">1</td>"
27,28,아웃포스트,상승,"<td class=""range ac"">2</td>"
28,29,먼 훗날 우리,강등,"<td class=""range ac"">2</td>"
29,30,소원택시,불변,
30,31,경호원,상승,"<td class=""range ac"">4</td>"
31,32,강철비2: 정상회담,강등,"<td class=""range ac"">3</td>"
32,33,공포분자,상승,"<td class=""range ac"">3</td>"
33,34,후쿠오카,강등,"<td class=""range ac"">10</td>"
34,35,소년시절의 너,강등,"<td class=""range ac"">1</td>"
35,36,태백권,강등,"<td class=""range ac"">5</td>"
36,37,덩케르크,강등,"<td class=""range ac"">4</td>"
37,38,죽지않는 인간들의 밤,상승,"<td class=""range ac"">3</td>"
38,39,시크릿 가든,상승,"<td class=""range ac"">5</td>"
39,40,인셉션,강등,"<td class=""range ac"">2</td>"
40,41,메멘토,강등,"<td class=""range ac"">4</td>"
41,42,지니어스 독,상승,"<td class=""range ac"">1</td>"
42,43,붉은 바캉스 검은 웨딩,불변,
43,44,지푸라기라도 잡고 싶은 짐승들,강등,"<td class=""range ac"">4</td>"
44,45,그린 북,상승,"<td class=""range ac"">1</td>"
45,46,007 노 타임 투 다이,상승,"<td class=""range ac"">1</td>"
46,47,하워즈 엔드,강등,"<td class=""range ac"">15</td>"
47,48,인터스텔라,강등,"<td class=""range ac"">6</td>"
48,49,가버나움,불변,"<td class=""range ac"">0</td>"
49,50,이터널스,불변,"<td class=""range ac"">0</td>"
