,순위,제목,변동,변동폭
0,01,테넷,불변,0
1,02,오! 문희,상승,1
2,03,다만 악에서 구하소서,강등,1
3,04,오케이 마담,불변,0
4,05,뮬란,불변,0
5,06,드라이브,불변,0
6,07,고스트 오브 워,불변,0
7,08,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,상승,1
8,09,후쿠오카,강등,1
9,10,기기괴괴 성형수,상승,4
10,11,남매의 여름밤,상승,1
11,12,태백권,강등,2
12,13,반도,강등,2
13,14,강철비2: 정상회담,강등,1
14,15,뉴 뮤턴트,불변,0
15,16,에이바,불변,0
16,17,카일라스 가는 길,상승,3
17,18,69세,강등,1
18,19,먼 훗날 우리,불변,0
19,20,반교: 디텐션,강등,2
20,21,하워즈 엔드,상승,11
21,22,검객,상승,2
22,23,아무도 없다,상승,4
23,24,덩케르크,강등,1
24,25,더 배트맨,상승,1
25,26,메멘토,상승,1
26,27,담보,강등,6
27,28,인셉션,강등,3
28,29,지푸라기라도 잡고 싶은 짐승들,상승,5
29,30,시크릿 가든,강등,8
30,31,소년시절의 너,상승,6
31,32,캐리비안 해적과 마법 다이아몬드,강등,3
32,33,인터스텔라,강등,2
33,34,이별식당,강등,4
34,35,도망친 여자,상승,9
35,36,#살아있다,강등,1
36,37,나를 구하지 마세요,상승,5
37,38,아메리칸 잡,강등,2
38,39,가버나움,상승,1
39,40,아웃포스트,상승,7
40,41,범죄도시 2,상승,16
41,42,비독: 파리의 황제,상승,23
42,43,트랜센던스,강등,2
43,44,워터 릴리스,강등,5
44,45,미드소마,상승,7
45,46,블랙 팬서 2,강등,8
46,47,프레스티지,강등,1
47,48,다크 나이트,강등,2
48,49,빌 & 테드 페이스 더 뮤직,강등,1
49,50,나의 소녀시대,강등,17
